PERIOD_INDEX,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,PERIOD_KEY,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,DATA_STATUS
16,2025-04-W4,2025-04-21,2025-04-25,2025-04-21__2025-04-25,2105,34470.0,35870.0,34070.0,35780.0,120412.0,3900,34750.0,35670.0,33860.0,35330.0,49009.0,DAY_DATA_AVAILABLE
17,2025-05-W1,2025-04-28,2025-05-02,2025-04-28__2025-05-02,2105,35950.0,37010.0,35800.0,36810.0,108809.0,3900,35820.0,37070.0,35480.0,36980.0,47359.0,DAY_DATA_AVAILABLE
18,2025-05-W2,2025-05-07,2025-05-09,2025-05-07__2025-05-09,1263,37100.0,37590.0,36700.0,37520.0,79541.0,2340,36920.0,37680.0,36590.0,37270.0,33037.0,DAY_DATA_AVAILABLE
19,2025-05-W3,2025-05-12,2025-05-16,2025-05-12__2025-05-16,2105,37760.0,38660.0,37440.0,37770.0,111281.0,3900,37440.0,38790.0,37310.0,37700.0,50148.0,DAY_DATA_AVAILABLE
20,2025-05-W4,2025-05-19,2025-05-23,2025-05-19__2025-05-23,2105,37610.0,37940.0,36830.0,37190.0,100483.0,3900,37870.0,38000.0,36710.0,37010.0,41226.0,DAY_DATA_AVAILABLE
21,2025-05-W5,2025-05-26,2025-05-30,2025-05-26__2025-05-30,2105,37200.0,38470.0,37170.0,37960.0,123468.0,3900,36730.0,38390.0,36450.0,37920.0,50246.0,DAY_DATA_AVAILABLE
22,2025-06-W1,2025-06-02,2025-06-06,2025-06-02__2025-06-06,2105,37610.0,37870.0,37330.0,37770.0,100683.0,3900,37740.0,38040.0,37280.0,37590.0,49111.0,DAY_DATA_AVAILABLE
23,2025-06-W2,2025-06-09,2025-06-13,2025-06-09__2025-06-13,2105,37970.0,38530.0,37470.0,37780.0,113281.0,3900,38060.0,38750.0,37730.0,38230.0,32519.0,DAY_DATA_AVAILABLE
24,2025-06-W3,2025-06-16,2025-06-20,2025-06-16__2025-06-20,2105,38070.0,38880.0,38000.0,38350.0,116148.0,3900,38080.0,38950.0,37850.0,38480.0,44679.0,DAY_DATA_AVAILABLE
25,2025-06-W4,2025-06-23,2025-06-27,2025-06-23__2025-06-27,2105,38180.0,40290.0,38000.0,40180.0,128683.0,3900,38290.0,39810.0,38220.0,39570.0,38567.0,DAY_DATA_AVAILABLE
26,2025-07-W1,2025-06-30,2025-07-04,2025-06-30__2025-07-04,2105,40550.0,40870.0,39430.0,39770.0,154848.0,3900,40490.0,40640.0,39570.0,40070.0,40195.0,DAY_DATA_AVAILABLE
27,2025-07-W2,2025-07-07,2025-07-11,2025-07-07__2025-07-11,2105,39760.0,39990.0,39410.0,39510.0,109940.0,3900,39790.0,40050.0,39350.0,39680.0,31670.0,DAY_DATA_AVAILABLE
28,2025-07-W3,2025-07-14,2025-07-18,2025-07-14__2025-07-18,2105,39360.0,40130.0,39290.0,39830.0,103909.0,3900,39480.0,40110.0,39130.0,39920.0,34635.0,DAY_DATA_AVAILABLE
29,2025-07-W4,2025-07-22,2025-07-25,2025-07-22__2025-07-25,1684,39780.0,42080.0,39580.0,41360.0,152684.0,3120,39910.0,41860.0,39460.0,41700.0,34580.0,DAY_DATA_AVAILABLE
30,2025-07-W5,2025-07-28,2025-08-01,2025-07-28__2025-08-01,2105,41600.0,41610.0,40560.0,40860.0,126125.0,3900,41340.0,41470.0,40480.0,40820.0,47274.0,DAY_DATA_AVAILABLE
31,2025-08-W1,2025-08-04,2025-08-08,2025-08-04__2025-08-08,2105,39870.0,42030.0,39740.0,41820.0,147992.0,3900,39980.0,41340.0,39730.0,41100.0,57313.0,DAY_DATA_AVAILABLE
32,2025-08-W2,2025-08-12,2025-08-15,2025-08-12__2025-08-15,1684,42250.0,43470.0,42190.0,43470.0,156244.0,3120,42360.0,43480.0,42230.0,42820.0,33840.0,DAY_DATA_AVAILABLE
33,2025-08-W3,2025-08-18,2025-08-22,2025-08-18__2025-08-22,2105,43510.0,43880.0,42310.0,42570.0,135334.0,3900,43350.0,43930.0,42510.0,42700.0,39403.0,DAY_DATA_AVAILABLE
34,2025-08-W4,2025-08-25,2025-08-29,2025-08-25__2025-08-29,2105,43150.0,43200.0,42110.0,42690.0,117857.0,3900,42990.0,43100.0,42170.0,42950.0,34428.0,DAY_DATA_AVAILABLE
35,2025-09-W1,2025-09-01,2025-09-05,2025-09-01__2025-09-05,2105,42250.0,43230.0,41780.0,43070.0,131157.0,3900,42110.0,42920.0,41690.0,42800.0,42668.0,DAY_DATA_AVAILABLE
36,2025-09-W2,2025-09-08,2025-09-12,2025-09-08__2025-09-12,2105,43700.0,44720.0,43340.0,44480.0,121025.0,3900,42630.0,44570.0,42590.0,44510.0,49005.0,DAY_DATA_AVAILABLE
37,2025-09-W3,2025-09-16,2025-09-19,2025-09-16__2025-09-19,1684,44640.0,45660.0,44250.0,44730.0,146095.0,3120,44410.0,45720.0,44320.0,45640.0,34778.0,DAY_DATA_AVAILABLE
38,2025-09-W4,2025-09-22,2025-09-26,2025-09-22__2025-09-26,2105,45070.0,45660.0,44970.0,45050.0,103810.0,3900,45010.0,45610.0,44830.0,45330.0,33371.0,DAY_DATA_AVAILABLE
