WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO,海外投資家_ROLL4_NET,海外投資家_ROLL8_NET,海外投資家_ROLL12_NET,海外投資家_MOM4,個人_ROLL4_NET,個人_ROLL8_NET,個人_ROLL12_NET,個人_MOM4,法人_ROLL4_NET,法人_ROLL8_NET,法人_ROLL12_NET,法人_MOM4,金融機関_ROLL4_NET,金融機関_ROLL8_NET,金融機関_ROLL12_NET,金融機関_MOM4,信託銀行_ROLL4_NET,信託銀行_ROLL8_NET,信託銀行_ROLL12_NET,信託銀行_MOM4,投資信託_ROLL4_NET,投資信託_ROLL8_NET,投資信託_ROLL12_NET,投資信託_MOM4
2025-03-03,36870.0,37330.0,35980.0,36860.0,227587,-808595250.0,261144507.0,1069739757.0,66.5,64.0,-130907400.0,-472934778.0,-342027378.0,26.9,28.6,28039689.0,-188279522.0,-216319211.0,6.0,6.7,14488427.0,-92968668.0,-107457095.0,2.0,2.4,55567931.0,-75582848.0,-131150779.0,1.5,1.9,-83392185.0,-128545708.0,-45153523.0,1.3,1.9,-1256185747.0,-1902105478.0,-1172065084.0,424382552.0,-517578914.0,189076760.0,909513888.0,-648043711.0,825835708.0,1272519211.0,1141274130.0,-332180674.0,198339723.0,-240220582.0,-1109531769.0,23514842.0,274928117.0,142539137.0,-550299850.0,-41590794.0,50525352.0,64428317.0,6823167.0,-178409587.0
2025-03-04,36830.0,37870.0,36790.0,37400.0,150340,261144507.0,-841689022.0,-1102833529.0,64.6,64.3,-472934778.0,478269233.0,951204011.0,30.4,26.5,-188279522.0,-1046396832.0,-858117310.0,4.5,8.8,-92968668.0,-876371001.0,-783402333.0,1.2,4.9,-75582848.0,-791712320.0,-716129472.0,1.0,4.4,-128545708.0,-182237565.0,-53691857.0,1.8,2.5,-1490720628.0,-2430432774.0,-2013754106.0,-234534881.0,-557502067.0,524909767.0,1387783121.0,-39923153.0,-375794074.0,241915564.0,94877298.0,-1201629782.0,-609845850.0,-977631132.0,-1985902770.0,-808185573.0,-477470911.0,-555158652.0,-1342012170.0,-752399028.0,-136805459.0,-62950933.0,-175414398.0,-187330811.0
2025-04-01,37420.0,37970.0,36900.0,37010.0,195019,-841689022.0,601126001.0,1442815023.0,67.7,69.8,478269233.0,720930299.0,242661066.0,24.6,23.5,-1046396832.0,392687672.0,1439084504.0,7.3,6.4,-876371001.0,-174423949.0,701947052.0,2.4,3.2,-791712320.0,-194192929.0,597519391.0,2.1,3.0,-182237565.0,249911690.0,432149255.0,2.9,2.2,-788013764.0,-1563553971.0,-1756180294.0,702706864.0,595357354.0,756611463.0,1380963706.0,1152859421.0,-813948993.0,334043739.0,853086061.0,-438154919.0,-1129275191.0,-1115547982.0,-1563597916.0,-519429341.0,-1005920166.0,-813066184.0,-1004328996.0,-528449255.0,-144263768.0,160175840.0,190675394.0,-7458309.0
2025-04-02,36880.0,36890.0,33300.0,33760.0,348479,601126001.0,158228771.0,-442897230.0,70.4,71.5,720930299.0,-117711658.0,-838641957.0,22.9,23.8,392687672.0,591879614.0,199191942.0,6.2,4.3,-174423949.0,147634728.0,322058677.0,2.6,2.2,-194192929.0,173047969.0,367240898.0,2.3,1.8,249911690.0,69121804.0,-180789886.0,1.5,1.3,178810257.0,-1501758042.0,-1593333027.0,966824021.0,608553096.0,739017893.0,811920956.0,13195742.0,-250109068.0,907907314.0,1311602658.0,563839925.0,-996128890.0,-821304009.0,-1238739124.0,133146301.0,-888440128.0,-571921217.0,-701254526.0,117480038.0,8250221.0,237185160.0,169988086.0,152513989.0
2025-04-03,33550.0,35140.0,30650.0,33520.0,575135,158228771.0,150379338.0,-7849433.0,65.3,65.3,-117711658.0,-230535497.0,-112823839.0,28.3,29.8,591879614.0,316599601.0,-275280013.0,6.0,4.5,147634728.0,60449421.0,-87185307.0,2.1,1.8,173047969.0,91976213.0,-81071756.0,1.9,1.5,69121804.0,71417828.0,2296024.0,1.9,1.6,68045088.0,-1188140659.0,-1834060390.0,-110765169.0,850952377.0,333373463.0,1040029137.0,242399281.0,254770055.0,1080605763.0,1527289266.0,504879123.0,-842710801.0,-644371078.0,-1082931383.0,153418089.0,-720881067.0,-445952950.0,-578341930.0,167559061.0,208213757.0,258739109.0,272642074.0,199963536.0
2025-04-04,33170.0,34830.0,32700.0,34830.0,195093,150379338.0,288137076.0,137757738.0,65.4,63.3,-230535497.0,-354932670.0,-124397173.0,28.1,29.5,316599601.0,-145479546.0,-462079147.0,6.0,6.7,60449421.0,-198292543.0,-258741964.0,2.6,3.5,91976213.0,-108521855.0,-200498068.0,2.4,2.9,71417828.0,-56782879.0,-128200707.0,1.6,1.8,1197871186.0,-292849442.0,-1232561588.0,1129826098.0,17750474.0,-539751593.0,542660241.0,-833201903.0,1155687341.0,779893267.0,1397602905.0,900917286.0,-164632343.0,-774478193.0,-1142263475.0,678078458.0,-37690602.0,-515161513.0,-592849254.0,683190465.0,333668443.0,196862984.0,270717510.0,125454686.0
2025-05-01,34730.0,35870.0,33860.0,35780.0,169557,288137076.0,394609056.0,106471980.0,66.5,65.4,-354932670.0,-167337048.0,187595622.0,25.6,26.7,-145479546.0,21290410.0,166769956.0,7.4,7.4,-198292543.0,-286274987.0,-87982444.0,2.6,4.0,-108521855.0,-229960539.0,-121438684.0,2.5,3.6,-56782879.0,177613281.0,234396160.0,3.2,2.4,991354241.0,203340477.0,-572199730.0,-206516945.0,-870516873.0,-275159519.0,-113905410.0,-888267347.0,784290079.0,-29658914.0,1118333818.0,-371397262.0,-276483381.0,-1405758572.0,-1392031363.0,-111851038.0,-73458212.0,-1079378378.0,-886524396.0,-35767610.0,261370034.0,117106266.0,421545874.0,-72298409.0
2025-05-02,35700.0,37070.0,35480.0,36810.0,156357,394609056.0,357010332.0,-37598724.0,70.6,67.5,-167337048.0,-357635278.0,-190298230.0,24.5,26.3,21290410.0,-205401277.0,-226691687.0,4.5,5.7,-286274987.0,-386907464.0,-100632477.0,1.2,3.6,-229960539.0,-268002308.0,-38041769.0,1.1,2.7,177613281.0,31975051.0,-145638230.0,1.4,1.2,1190135802.0,1368946059.0,-311622240.0,198781561.0,-1110440493.0,-501887397.0,-371422600.0,-239923620.0,-12990812.0,-263099880.0,894916502.0,-797280891.0,-811025573.0,-1807154463.0,-1632329582.0,-534542192.0,-514508489.0,-1402948617.0,-1086429706.0,-441050277.0,224223281.0,232473502.0,461408441.0,-37146753.0
2025-05-03,36860.0,37680.0,36590.0,37520.0,135932,357010332.0,623278926.0,266268594.0,66.9,65.0,-357635278.0,-257976300.0,99658978.0,26.4,27.4,-205401277.0,-218705436.0,-13304159.0,6.3,7.1,-386907464.0,-479281080.0,-92373616.0,2.0,3.7,-268002308.0,-289316543.0,-21314235.0,1.8,2.9,31975051.0,8597785.0,-23377266.0,1.7,1.7,1663035390.0,1731080478.0,474894731.0,472899588.0,-1137881296.0,-286928919.0,-804507833.0,-27440803.0,-548295849.0,-293525794.0,532309914.0,-535305037.0,-1350756074.0,-2193466875.0,-1995127152.0,-539730501.0,-895801245.0,-1616682312.0,-1341754195.0,-381292756.0,161403238.0,369616995.0,420142347.0,-62820043.0
2025-05-04,37550.0,38790.0,37310.0,37770.0,161703,623278926.0,285023033.0,-338255893.0,63.2,64.4,-257976300.0,-55060613.0,202915687.0,28.2,29.6,-218705436.0,666381392.0,885086828.0,8.3,5.6,-479281080.0,-136221920.0,343059160.0,2.2,2.9,-289316543.0,-35978914.0,253337629.0,2.0,2.2,8597785.0,73804459.0,65206674.0,1.9,1.6,1659921347.0,2857792533.0,1367071905.0,-3114043.0,-838009239.0,-820258765.0,-1377760832.0,299872057.0,263565089.0,1419252430.0,1043458356.0,811860938.0,-1288685451.0,-1453317794.0,-2063163644.0,62070623.0,-823258304.0,-860948906.0,-1338419817.0,72542941.0,291990576.0,625659019.0,488853560.0,130587338.0
2025-06-01,37830.0,38000.0,36710.0,37190.0,141876,616572817.0,398591776.0,-217981041.0,63.3,62.6,-356780428.0,161849133.0,518629561.0,29.1,28.8,-233765613.0,-185712238.0,48053375.0,7.1,8.1,-230441059.0,-533610928.0,-303169869.0,2.5,4.9,-98149711.0,-473836456.0,-375686745.0,2.1,4.3,-264107351.0,-21117347.0,242990004.0,2.0,2.1,1923466552.0,3113602354.0,3292412611.0,41581444.0,-507968208.0,-1618408701.0,-1009855605.0,519484411.0,28198105.0,15207293.0,-234901775.0,19689039.0,-1379554987.0,-2190580560.0,-3186709450.0,-146703464.0,-897281624.0,-1411790113.0,-2300230241.0,-205834148.0,-202822454.0,21400827.0,29651048.0,-53092398.0
2025-06-02,37210.0,38470.0,36450.0,37960.0,173885,398591776.0,99704954.0,-298886822.0,63.7,64.1,161849133.0,-4009916.0,-165859049.0,30.0,30.4,-185712238.0,213313630.0,399025868.0,5.9,5.0,-533610928.0,-136112097.0,397498831.0,1.8,2.4,-473836456.0,-25169482.0,448666974.0,1.5,1.7,-21117347.0,-2647681.0,18469666.0,1.5,1.5,1399892580.0,3062927970.0,3130973058.0,-523573972.0,-254001824.0,-1391883120.0,-540930743.0,253966384.0,460217171.0,-88078678.0,166691377.0,432019066.0,-1036386004.0,-2387142078.0,-3229852879.0,343168983.0,-633134563.0,-1528935808.0,-2249816875.0,264147061.0,-214067920.0,-52664682.0,155549075.0,-11245466.0
2025-06-03,38000.0,38040.0,37280.0,37770.0,149968,99704954.0,88459899.0,-11245055.0,64.0,63.8,-4009916.0,-232631240.0,-228621324.0,28.2,29.1,213313630.0,190126694.0,-23186936.0,7.4,6.7,-136112097.0,-179985814.0,-43873717.0,2.5,3.2,-25169482.0,-107371713.0,-82202231.0,2.3,2.7,-2647681.0,61396501.0,64044182.0,2.5,2.3,1203329446.0,2863250793.0,4061121979.0,-196563134.0,-431572451.0,-1269581690.0,-1251831216.0,-177570627.0,-16037527.0,247527562.0,1403214903.0,-476254698.0,-1080149898.0,-2368835349.0,-2533467692.0,-43763894.0,-704527362.0,-1527785666.0,-1565476268.0,-71392799.0,-226475878.0,65514698.0,399183141.0,-12407958.0
2025-06-04,37740.0,38750.0,37470.0,37780.0,145961,88459899.0,339822204.0,251362305.0,63.1,61.5,-232631240.0,-591709901.0,-359078661.0,30.1,32.3,190126694.0,129089673.0,-61037021.0,6.3,5.8,-179985814.0,-89687490.0,90298324.0,2.3,2.7,-107371713.0,-47324832.0,60046881.0,2.0,2.2,61396501.0,120435716.0,59039215.0,2.3,1.8,926578833.0,2808463941.0,3799818182.0,-276750613.0,-666501924.0,-1693954543.0,-2564471416.0,-234929473.0,346817759.0,355326825.0,1139616904.0,362855286.0,-939396329.0,-2172247852.0,-2448731233.0,140753569.0,-653702483.0,-1345149959.0,-1418608171.0,50824879.0,158067189.0,8337133.0,269707167.0,384543067.0
2025-07-01,37880.0,38950.0,37850.0,38350.0,161017,339822204.0,545637476.0,205815272.0,62.6,61.9,-591709901.0,-60326993.0,531382908.0,29.8,30.7,129089673.0,98900453.0,-30189220.0,7.2,7.0,-89687490.0,-111198.0,89576292.0,3.0,3.1,-47324832.0,84804596.0,132129428.0,2.8,2.6,120435716.0,-156189504.0,-276625220.0,2.1,2.7,1073624533.0,2997091085.0,4187226887.0,147045700.0,-888678050.0,-1396646258.0,-2507086751.0,-222176126.0,631430450.0,659628555.0,646637743.0,284612691.0,-405896599.0,-1785451586.0,-2596477159.0,533499730.0,-95061431.0,-992343055.0,-1506851544.0,558641052.0,22995032.0,-179827422.0,44395859.0,-135072157.0
2025-07-02,38460.0,40290.0,38000.0,40180.0,167454,545637476.0,403085131.0,-142552345.0,64.8,63.4,-60326993.0,-66547033.0,-6220040.0,28.6,29.0,98900453.0,-234311260.0,-333211713.0,6.1,7.2,-111198.0,-68411668.0,-68300470.0,2.0,2.3,84804596.0,-35303818.0,-120108414.0,1.6,1.8,-156189504.0,-442782603.0,-286593099.0,1.7,3.6,1377004710.0,2776897290.0,4439932680.0,303380177.0,-951215167.0,-1205216991.0,-2343098287.0,-62537117.0,183805560.0,644022731.0,95726882.0,-447624890.0,-338196170.0,-1374582174.0,-2725338248.0,67700429.0,-105195767.0,-738330330.0,-1634131575.0,-10134336.0,-417139890.0,-631207810.0,-469804572.0,-440134922.0
2025-07-03,40200.0,40870.0,39430.0,39770.0,195157,403085131.0,187508315.0,-215576816.0,62.3,62.3,-66547033.0,-87985482.0,-21438449.0,31.5,32.3,-234311260.0,201847346.0,436158606.0,5.8,5.0,-68411668.0,-85752873.0,-17341205.0,1.9,2.3,-35303818.0,10790858.0,46094676.0,1.7,1.6,-442782603.0,58474583.0,501257186.0,1.6,1.3,1476053126.0,2679382572.0,4339303919.0,99048416.0,-806569409.0,-1238141860.0,-2076151099.0,144645758.0,195526212.0,179488685.0,443053774.0,11720652.0,-243963229.0,-1324113127.0,-2612798578.0,94232941.0,12966804.0,-691560558.0,-1514818862.0,118162571.0,-420061808.0,-646537686.0,-354547110.0,-2921918.0
2025-07-04,39750.0,40050.0,39330.0,39510.0,141749,187508315.0,602395039.0,414886724.0,66.8,62.6,-87985482.0,-1219052113.0,-1131066631.0,26.6,31.1,201847346.0,64859961.0,-136987385.0,6.1,5.7,-85752873.0,-39668234.0,46084639.0,2.0,2.1,10790858.0,38584571.0,27793713.0,1.8,1.6,58474583.0,-22253055.0,-80727638.0,1.7,1.8,1738625961.0,2665204794.0,4547089902.0,262572835.0,-1433911621.0,-2100413545.0,-3127866164.0,-627342212.0,131296500.0,478114259.0,486623325.0,-64229712.0,-193943973.0,-1133340302.0,-2366191825.0,50019256.0,98876207.0,-554826276.0,-1246273752.0,85909403.0,-562750579.0,-404683390.0,-554413446.0,-142688771.0
2025-08-01,39380.0,40130.0,39130.0,39830.0,138660,-189205698.0,-5334314.0,183871384.0,66.8,65.4,25542718.0,-578057685.0,-603600403.0,27.8,29.1,-68264588.0,-22178045.0,46086543.0,5.0,4.9,-415783161.0,-214315566.0,201467595.0,1.6,2.3,-100216389.0,-116562270.0,-16345881.0,1.4,1.8,58938584.0,-38022283.0,-96960867.0,1.3,1.4,595363342.0,1972368052.0,3372260632.0,-408419445.0,-1859552562.0,-2810767729.0,-3064769553.0,-511510652.0,176264674.0,360070234.0,820287405.0,212133215.0,-755519834.0,-1093716004.0,-2130102008.0,-145903898.0,-167403230.0,-272598997.0,-905733560.0,-81258452.0,57137829.0,-360002061.0,-574069981.0,404760320.0
2025-08-02,39860.0,42080.0,39460.0,41360.0,195114,-5334314.0,573775742.0,579110056.0,65.0,61.2,-578057685.0,-1125354016.0,-547296331.0,29.2,32.6,-22178045.0,-130627495.0,-108449450.0,5.3,5.7,-214315566.0,-298689694.0,-84374128.0,1.5,2.6,-116562270.0,-216505472.0,-99943202.0,1.4,2.1,-38022283.0,9971230.0,47993513.0,1.8,1.7,981630769.0,2457683895.0,3661013341.0,386267427.0,-2896921096.0,-3703490505.0,-4135062956.0,-1037368534.0,-156210167.0,39316045.0,23278518.0,-332474841.0,-968456655.0,-1212419884.0,-2292569782.0,-212936821.0,-394699560.0,-381732756.0,-1086260118.0,-227296330.0,8634476.0,-411427332.0,-637903210.0,-48503353.0
2025-08-03,41340.0,41610.0,40480.0,40860.0,173524,573775742.0,-198867487.0,-772643229.0,62.6,62.8,-1125354016.0,150198086.0,1275552102.0,31.4,30.5,-130627495.0,-156983708.0,-26356213.0,5.6,6.1,-298689694.0,-105002227.0,193687467.0,1.9,2.3,-216505472.0,1295059.0,217800531.0,1.7,1.7,9971230.0,-291042745.0,-301013975.0,1.3,2.4,180368243.0,1918994204.0,2845573037.0,-801262526.0,-1527670897.0,-2961582518.0,-3628084442.0,1369250199.0,-378053836.0,-246757336.0,100060423.0,-221843669.0,-1033790648.0,-1227734621.0,-2167130950.0,-65333993.0,-431989072.0,-333112865.0,-986815348.0,-37289512.0,-260155214.0,-822905793.0,-664838604.0,-268789690.0
2025-08-04,40690.0,42030.0,39730.0,41820.0,205421,-198867487.0,-303154299.0,-104286812.0,63.4,63.8,150198086.0,413478555.0,263280469.0,28.4,26.5,-156983708.0,-415331183.0,-258347475.0,7.8,9.2,-105002227.0,-522501175.0,-417498948.0,2.7,4.6,1295059.0,-446135282.0,-447430341.0,2.3,4.0,-291042745.0,-213869523.0,77173222.0,2.4,3.1,66419642.0,1070202429.0,2143826962.0,-113948601.0,-1139735060.0,-2487776970.0,-3376455020.0,387935837.0,-725120431.0,-760988972.0,-129558522.0,-347066595.0,-1140508662.0,-1750124598.0,-2156021197.0,-106718014.0,-777907965.0,-864052743.0,-959114174.0,-345918893.0,-532963321.0,-880585812.0,-857590780.0,-272808107.0
2025-09-01,41820.0,43480.0,41810.0,43470.0,204643,-303154299.0,131445850.0,434600149.0,61.8,61.3,413478555.0,165783096.0,-247695459.0,30.4,29.7,-415331183.0,-279435636.0,135895547.0,7.4,8.5,-522501175.0,-498231517.0,24269658.0,2.6,4.6,-446135282.0,-422062107.0,24073175.0,2.2,4.0,-213869523.0,-93920852.0,119948671.0,2.1,2.5,203199806.0,798563148.0,2175567858.0,136780164.0,-395894279.0,-2255446841.0,-3206662008.0,743840781.0,-982378022.0,-806113348.0,-622307788.0,-257257591.0,-1424424613.0,-2179944447.0,-2518140617.0,-283915951.0,-1083407802.0,-1250811032.0,-1356006799.0,-305499837.0,-588861890.0,-531724061.0,-948863951.0,-55898569.0
2025-09-02,43440.0,43930.0,42310.0,42570.0,174884,131445850.0,-692367194.0,-823813044.0,64.7,64.1,165783096.0,-468895579.0,-634678675.0,29.6,29.9,-279435636.0,-126974104.0,152461532.0,5.3,5.5,-498231517.0,-212467215.0,285764302.0,1.6,2.3,-422062107.0,-130105450.0,291956657.0,1.3,1.7,-93920852.0,-104917449.0,-10996597.0,1.4,1.7,-1062943130.0,-81312361.0,1394740765.0,-1266142936.0,260564158.0,-2636356938.0,-3442926347.0,656458437.0,-978724631.0,-1134934798.0,-939408586.0,3653391.0,-1338202134.0,-2306658789.0,-2550622018.0,86222479.0,-997007780.0,-1391707340.0,-1378740536.0,86400022.0,-703750569.0,-695116093.0,-1115177901.0,-114888679.0
