WEEK,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO
2025-07-05,602395039.0,-189205698.0,-791600737.0,64.3,64.4,-1219052113.0,25542718.0,1244594831.0,27.7,27.4,64859961.0,-68264588.0,-133124549.0,7.5,7.7,-39668234.0,-415783161.0,-376114927.0,2.3,3.9,38584571.0,-100216389.0,-138800960.0,2.1,2.5,-22253055.0,58938584.0,81191639.0,2.9,2.7
2025-08-01,-189205698.0,-5334314.0,183871384.0,66.8,65.4,25542718.0,-578057685.0,-603600403.0,27.8,29.1,-68264588.0,-22178045.0,46086543.0,5.0,4.9,-415783161.0,-214315566.0,201467595.0,1.6,2.3,-100216389.0,-116562270.0,-16345881.0,1.4,1.8,58938584.0,-38022283.0,-96960867.0,1.3,1.4
2025-08-02,-5334314.0,573775742.0,579110056.0,65.0,61.2,-578057685.0,-1125354016.0,-547296331.0,29.2,32.6,-22178045.0,-130627495.0,-108449450.0,5.3,5.7,-214315566.0,-298689694.0,-84374128.0,1.5,2.6,-116562270.0,-216505472.0,-99943202.0,1.4,2.1,-38022283.0,9971230.0,47993513.0,1.8,1.7
2025-08-03,573775742.0,-198867487.0,-772643229.0,62.6,62.8,-1125354016.0,150198086.0,1275552102.0,31.4,30.5,-130627495.0,-156983708.0,-26356213.0,5.6,6.1,-298689694.0,-105002227.0,193687467.0,1.9,2.3,-216505472.0,1295059.0,217800531.0,1.7,1.7,9971230.0,-291042745.0,-301013975.0,1.3,2.4
2025-08-04,-198867487.0,-303154299.0,-104286812.0,63.4,63.8,150198086.0,413478555.0,263280469.0,28.4,26.5,-156983708.0,-415331183.0,-258347475.0,7.8,9.2,-105002227.0,-522501175.0,-417498948.0,2.7,4.6,1295059.0,-446135282.0,-447430341.0,2.3,4.0,-291042745.0,-213869523.0,77173222.0,2.4,3.1
2025-09-01,-303154299.0,131445850.0,434600149.0,61.8,61.3,413478555.0,165783096.0,-247695459.0,30.4,29.7,-415331183.0,-279435636.0,135895547.0,7.4,8.5,-522501175.0,-498231517.0,24269658.0,2.6,4.6,-446135282.0,-422062107.0,24073175.0,2.2,4.0,-213869523.0,-93920852.0,119948671.0,2.1,2.5
2025-09-02,131445850.0,-692367194.0,-823813044.0,64.7,64.1,165783096.0,-468895579.0,-634678675.0,29.6,29.9,-279435636.0,-126974104.0,152461532.0,5.3,5.5,-498231517.0,-212467215.0,285764302.0,1.6,2.3,-422062107.0,-130105450.0,291956657.0,1.3,1.7,-93920852.0,-104917449.0,-10996597.0,1.4,1.7
2025-09-03,-692367194.0,-294384229.0,397982965.0,66.5,65.7,-468895579.0,-32664718.0,436230861.0,27.9,27.2,-126974104.0,-429585918.0,-302611814.0,5.2,6.7,-212467215.0,-575494336.0,-363027121.0,2.1,4.2,-130105450.0,-531015442.0,-400909992.0,1.7,3.6,-104917449.0,-45385686.0,59531763.0,1.3,1.4
2025-09-04,-294384229.0,-559181267.0,-264797038.0,64.0,63.3,-32664718.0,129368928.0,162033646.0,30.9,29.1,-429585918.0,-694191722.0,-264605804.0,4.7,7.2,-575494336.0,-435692577.0,139801759.0,1.4,3.1,-531015442.0,-358418155.0,172597287.0,1.1,2.4,-45385686.0,-276015725.0,-230630039.0,1.4,2.5
2025-10-01,-559181267.0,1239847859.0,1799029126.0,66.8,66.2,129368928.0,422263337.0,292894409.0,27.5,27.5,-694191722.0,-67652427.0,626539295.0,5.2,5.8,-435692577.0,-275507502.0,160185075.0,1.9,3.0,-358418155.0,-213666085.0,144752070.0,1.8,2.6,-276015725.0,65085617.0,341101342.0,1.6,1.5
2025-10-02,1239847859.0,1058677402.0,-181170457.0,66.0,63.2,422263337.0,-429019706.0,-851283043.0,29.1,30.4,-67652427.0,-504942057.0,-437289630.0,4.5,6.0,-275507502.0,-644671941.0,-369164439.0,1.4,3.3,-213666085.0,-488226339.0,-274560254.0,1.2,2.6,65085617.0,-36365222.0,-101450839.0,1.2,1.3
2025-10-03,1058677402.0,153283869.0,-905393533.0,66.0,66.3,-429019706.0,343116476.0,772136182.0,28.9,27.9,-504942057.0,-143878510.0,361063547.0,4.7,5.3,-644671941.0,-125792044.0,518879897.0,1.4,2.0,-488226339.0,-10911085.0,477315254.0,1.2,1.2,-36365222.0,-152487276.0,-116122054.0,1.3,1.9
2025-10-04,153283869.0,643645071.0,490361202.0,64.2,62.0,343116476.0,-512482450.0,-855598926.0,30.8,32.4,-143878510.0,-171348330.0,-27469820.0,4.5,5.1,-125792044.0,-144756941.0,-18964897.0,1.4,1.9,-10911085.0,-78640830.0,-67729745.0,1.2,1.4,-152487276.0,-116556111.0,35931165.0,1.2,1.6
2025-10-05,643645071.0,345941965.0,-297703106.0,63.7,63.0,-512482450.0,-187683117.0,324799333.0,26.4,26.8,-171348330.0,-72988818.0,98359512.0,9.6,9.8,-144756941.0,84112780.0,228869721.0,4.6,4.5,-78640830.0,138835076.0,217475906.0,3.2,2.9,-116556111.0,-336537362.0,-219981251.0,3.5,4.3
2025-11-01,345941965.0,-355936941.0,-701878906.0,65.7,68.2,-187683117.0,555751415.0,743434532.0,27.6,26.6,-72988818.0,491916192.0,564905010.0,6.2,4.8,84112780.0,11181206.0,-72931574.0,2.0,2.0,138835076.0,75578159.0,-63256917.0,1.8,1.6,-336537362.0,261321584.0,597858946.0,2.5,1.8
2025-11-02,-355936941.0,514769714.0,870706655.0,65.4,63.4,555751415.0,-236618665.0,-792370080.0,29.2,29.7,491916192.0,-526308496.0,-1018224688.0,4.9,6.4,11181206.0,-741275154.0,-752456360.0,1.7,3.7,75578159.0,-539765297.0,-615343456.0,1.5,3.0,261321584.0,-44635851.0,-305957435.0,1.2,1.3
2025-11-03,514769714.0,-383632919.0,-898402633.0,66.3,66.9,-236618665.0,115895491.0,352514156.0,26.2,25.7,-526308496.0,-21275806.0,505032690.0,7.0,7.0,-741275154.0,-186790963.0,554484191.0,2.7,3.2,-539765297.0,-83461070.0,456304227.0,2.4,2.6,-44635851.0,-124649985.0,-80014134.0,2.3,2.7
2025-11-04,-383632919.0,-116267300.0,267365619.0,64.3,63.9,115895491.0,-452832883.0,-568728374.0,27.6,29.0,-21275806.0,220223690.0,241499496.0,7.7,6.7,-186790963.0,-16605215.0,170185748.0,3.5,3.5,-83461070.0,23634934.0,107096004.0,3.3,3.1,-124649985.0,35694087.0,160344072.0,2.1,1.9
2025-12-01,-116267300.0,3459211.0,119726511.0,64.2,64.8,-452832883.0,207690665.0,660523548.0,28.3,27.8,220223690.0,42907384.0,-177316306.0,7.1,7.0,-16605215.0,-376347696.0,-359742481.0,2.7,4.0,23634934.0,-208493781.0,-232128715.0,2.4,3.1,35694087.0,169903360.0,134209273.0,2.3,1.8
2025-12-02,3459211.0,189792277.0,186333066.0,64.2,64.7,207690665.0,-250281405.0,-457972070.0,28.1,29.4,42907384.0,587201777.0,544294393.0,7.2,5.3,-376347696.0,101321383.0,477669079.0,2.4,2.1,-208493781.0,129372163.0,337865944.0,2.0,1.6,169903360.0,144695694.0,-25207666.0,2.5,2.1
2025-12-03,189792277.0,-439099493.0,-628891770.0,66.1,67.0,-250281405.0,256533638.0,506815043.0,26.3,25.2,587201777.0,-60673772.0,-647875549.0,7.2,7.4,101321383.0,-246918969.0,-348240352.0,3.2,4.0,129372163.0,-176618885.0,-305991048.0,2.9,3.5,144695694.0,-77501459.0,-222197153.0,2.1,2.3
2025-12-04,-439099493.0,-21032974.0,418066519.0,58.9,58.2,256533638.0,-385292643.0,-641826281.0,34.3,35.7,-60673772.0,132460566.0,193134338.0,6.3,5.6,-246918969.0,-24803560.0,222115409.0,2.2,2.3,-176618885.0,30765209.0,207384094.0,2.0,1.8,-77501459.0,50651164.0,128152623.0,2.1,1.8
2025-12-05,-21032974.0,-14987991.0,6044983.0,61.1,62.7,-385292643.0,184684340.0,569976983.0,31.6,30.2,132460566.0,25668348.0,-106792218.0,6.9,6.8,-24803560.0,15916282.0,40719842.0,3.5,3.4,30765209.0,17542906.0,-13222303.0,3.4,3.3,50651164.0,-17774159.0,-68425323.0,2.4,2.7
