FILE,STATUS,OBSERVATION_START,OBSERVATION_END,SOURCE_TEXT,ERROR
stock_val_1_250701.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250702.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250703.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250704.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250705.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250801.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250802.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250803.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250804.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250901.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250902.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250903.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250904.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251001.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251002.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251003.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251004.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251005.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251101.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251102.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251103.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251104.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251201.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251202.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251203.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251204.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_251205.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
