PERIOD_INDEX,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO,海外投資家_ROLL4_NET,海外投資家_ROLL8_NET,海外投資家_ROLL12_NET,海外投資家_MOM4,個人_ROLL4_NET,個人_ROLL8_NET,個人_ROLL12_NET,個人_MOM4,法人_ROLL4_NET,法人_ROLL8_NET,法人_ROLL12_NET,法人_MOM4,金融機関_ROLL4_NET,金融機関_ROLL8_NET,金融機関_ROLL12_NET,金融機関_MOM4,信託銀行_ROLL4_NET,信託銀行_ROLL8_NET,信託銀行_ROLL12_NET,信託銀行_MOM4,投資信託_ROLL4_NET,投資信託_ROLL8_NET,投資信託_ROLL12_NET,投資信託_MOM4,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,TARGET_RETURN
21,0.517741,1.349468,0.66386,0.514539,-0.397217,0.068627,-0.636481,-0.538358,-1.116166,-0.49828,2.025221,-0.632733,-2.009223,1.185248,1.718784,0.277798,-0.076991,-0.280929,2.434138,1.510362,0.416937,0.175097,-0.189779,2.483713,1.209004,0.727521,-1.627878,-1.753879,0.229279,1.78907,1.465642,1.239184,0.435983,0.531512,-0.767053,-0.858414,-0.269968,-0.333757,-0.020185,0.786121,-0.446276,-0.493882,-0.920422,-0.170371,-0.94562,0.316363,-0.459134,0.135769,-1.260059,0.560666,-0.178032,0.666041,0.268894,-2.306098,0.408944,-0.603304,-0.481961,-0.418539,-0.419659,-0.316108,0.408944,-0.793163,-0.517161,-0.633995,-0.437504,-0.148272,0.011787
22,1.359536,0.813126,-0.39499,-0.917335,-0.888087,-0.636573,0.575778,0.925672,0.501952,0.180989,-0.723888,-0.493831,0.150763,0.723779,1.393029,-0.129901,-1.389884,-0.996983,0.665548,2.060111,0.128816,-1.553639,-1.335864,0.435997,2.137128,-1.740728,0.075709,1.31682,0.229279,0.174659,1.505434,1.38223,1.019779,0.161604,-0.192368,-0.664376,-0.114888,0.952085,0.010953,-0.191227,-0.709006,0.137865,-1.218843,-1.186706,-1.654352,-0.317126,-0.917212,-1.076615,-2.322456,-0.554554,-0.370908,0.428785,0.396835,-0.212286,0.408944,-0.461382,-0.701911,-0.364013,-0.486797,-0.858325,0.408944,-0.429855,-0.648752,-0.352952,-0.55216,-0.177504,0.008273
23,0.806089,0.077716,-0.550882,-0.719835,-0.2745,0.575603,0.188095,-0.295895,0.943257,0.860258,-0.577129,0.659586,0.950274,-0.383748,-1.131568,-1.441759,0.331506,1.404141,-0.572465,-0.688633,-1.612245,0.510919,1.677633,-0.680939,-0.879276,0.034172,0.205199,0.129985,-0.738787,-0.901616,1.00439,1.352072,0.941707,-0.997353,0.088585,-0.507148,0.133512,0.470492,0.694202,-0.321046,-0.215393,1.085973,-0.520776,-1.479952,-1.710139,1.215078,-0.329361,-1.296168,-2.221287,0.997764,-0.411761,0.234053,0.655486,0.013173,0.408944,-0.336768,-0.459966,-0.316303,-0.483263,-0.558529,0.408944,-0.314747,-0.381811,-0.20058,-0.329797,-0.604838,0.009211
24,0.047224,0.050047,0.003354,-0.57171,-0.397217,0.187946,-0.346291,-0.407903,0.060647,0.308352,0.641522,0.592562,-0.011521,1.00066,0.252888,0.278273,0.141509,-0.1084,0.665548,0.190965,0.467031,0.132662,-0.263006,0.808309,0.28088,0.169082,0.654208,0.370896,1.197344,0.533417,0.816285,1.23324,1.391526,-0.326756,-0.107854,-0.422261,-0.243068,-0.312223,-0.059006,0.100774,1.304461,-1.002504,-0.609799,-1.45264,-0.809664,0.004845,-0.488243,-1.294013,-0.847968,-0.110503,-0.456837,0.544769,1.156021,0.00691,0.408944,-0.302153,-0.331662,-0.135687,-0.281849,-0.490303,0.408944,-0.307553,-0.306616,-0.159947,-0.242936,-0.291652,0.057368
25,0.018673,0.668524,0.509353,-1.016085,-1.338051,-0.346403,-1.185611,-0.640723,0.992291,1.66689,0.570708,0.41613,-0.097743,-0.014573,-0.480059,0.088426,0.532551,0.351395,0.31183,-0.358783,0.086078,0.40897,0.256998,0.249841,-0.299198,0.636888,1.068129,0.34444,0.810118,-0.363479,0.551444,1.200635,1.26516,-0.491195,-0.367747,-0.716811,-0.938404,-0.416259,0.514858,0.236266,0.980463,0.926938,-0.323481,-1.159356,-0.700093,0.581971,-0.375134,-0.951719,-0.553237,0.293174,0.940146,0.394438,0.890019,2.145564,0.408944,-0.264076,0.185221,-0.135687,0.364795,-0.192006,0.408944,-0.232014,0.016721,-0.034663,0.135777,-0.44907,0.008623
26,0.656874,1.174932,0.421591,-1.26296,-1.174427,-1.185666,0.056458,0.948432,0.845189,0.987621,0.384297,0.328865,-0.027472,0.816073,0.497204,0.479159,0.920466,0.34892,1.549843,0.081016,0.364356,1.016969,0.520502,1.739089,0.164864,1.068135,-0.871273,-1.429913,0.422892,1.250933,0.692162,1.312891,1.452511,0.377878,-0.613532,-0.510454,-0.908006,-0.393127,0.96498,0.61874,0.374525,0.747028,0.761752,-0.582303,-0.891139,1.810387,0.868104,-0.290492,-0.730322,1.970458,0.449451,-0.100281,0.427127,-0.653968,0.408944,0.5563,0.39784,0.351637,0.219919,0.430646,0.408944,0.559351,0.328779,0.422456,0.309499,-0.40714,0.002537
27,1.179433,0.824182,-0.249652,-0.17671,-0.56084,0.056318,0.041919,-0.010997,0.256783,0.265898,0.292097,-0.63431,-0.717753,-0.199161,0.660082,0.866768,0.624687,-0.192108,-0.218747,-0.798582,0.976689,0.464285,-0.401575,-0.494783,-0.76326,-0.952451,-2.880559,-1.482604,-0.351561,2.865344,0.982487,1.181849,1.574719,0.698471,-0.682714,-0.377587,-0.821137,-0.103577,0.25705,0.599125,-0.302618,-0.936673,0.899467,0.030664,-1.057766,0.353478,0.84555,0.185576,-0.985744,0.09183,-1.149489,-1.287043,-0.629273,-2.297555,0.408944,0.282841,0.075246,0.344822,0.128046,-0.638035,0.408944,0.307553,0.106955,0.347962,0.173996,-0.626705,0.013744
28,0.817497,0.293756,-0.390358,-1.411085,-1.010804,0.04178,-0.008192,-0.038156,1.678766,1.66689,-0.725554,0.626442,1.034862,-0.476042,-1.131568,0.571222,0.54959,-0.017476,-0.395606,-0.798582,0.420065,0.676392,0.205995,-0.308627,-0.995291,-3.045846,0.633723,2.682044,-0.545174,-1.260374,1.077273,1.123815,1.526055,0.279451,-0.522698,-0.400439,-0.679729,0.272208,0.275587,0.015257,0.124293,0.119542,1.091154,0.105957,-0.912244,0.436466,1.108517,0.273231,-0.74631,0.515586,-1.160104,-1.327348,-0.392482,0.058018,0.408944,0.144381,0.126568,0.303927,0.24112,-0.781556,0.408944,0.196043,0.129513,0.273469,0.257382,-0.55034,0.044972
29,0.270154,1.314583,0.824436,0.810789,-0.888087,-0.008328,-2.651978,-2.018445,-0.723895,1.157439,0.606503,0.230468,-0.270757,-0.199161,-0.561498,0.496185,0.749162,0.199879,-0.218747,-1.018482,0.633684,0.804285,0.139094,-0.122471,-0.995291,0.615545,0.067747,-0.394381,-0.351561,-0.363479,1.328547,1.115378,1.62654,0.614788,-1.216702,-0.998926,-1.236847,-1.128011,0.174006,0.390596,0.177846,-0.055097,1.192902,0.390567,-0.593364,0.298176,1.299706,0.529497,-0.2074,0.409056,-1.678469,-0.691469,-0.803098,-0.695004,-1.811039,0.289764,0.841406,0.402755,0.781757,0.379149,-1.811039,0.350718,0.787466,0.385209,0.875831,-0.551756,0.007396
30,1.323539,-0.633148,-1.500256,-0.423585,-0.151782,-2.651933,0.257172,2.221261,-0.184522,-0.413371,0.188135,-0.154339,-0.261957,1.092954,1.067275,0.695599,-0.879625,-1.246958,0.31183,0.960613,0.76249,0.165588,-0.469907,0.435997,0.048849,0.025877,0.636976,0.461539,1.971797,1.250933,0.625326,0.765566,1.36239,-1.4306,-1.121708,-1.093534,-1.033868,0.165601,-0.090369,0.538215,0.346405,-0.291786,0.347351,0.566351,-0.630702,-1.158395,0.887948,1.229732,0.129309,-0.485809,-0.896943,-0.480987,-0.747703,1.232806,0.408944,0.919758,0.669111,0.736726,0.605078,-0.252879,0.408944,0.865106,0.640837,0.730587,0.570081,-0.224817,0.05234
