ANALYSIS_TYPE,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,BASE_SAMPLE,CONDITIONAL_SAMPLE,BASE_AVG_MAX_UP_PCT,N225_AVG_MAX_UP_PCT,DELTA_MAX_UP_PCT,BASE_AVG_MAX_DOWN_PCT,N225_AVG_MAX_DOWN_PCT,DELTA_MAX_DOWN_PCT,BASE_AVG_CLOSE_PCT,N225_AVG_CLOSE_PCT,DELTA_CLOSE_PCT
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.2~-0.05%,201675,60193,1.1499485636137547,1.0709233646624563,-6.872063799354549,-1.0395238850803967,-1.0999202270091066,-5.810000404563946,0.022798387784837313,-0.08983652777838538,-494.0477222610171
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,-0.2~0%,201675,49952,1.1499485636137547,1.1243741048645934,-2.2239654501408874,-1.0395238850803967,-1.0534965699375265,-1.3441427424295425,0.022798387784837313,0.013452705601425296,-40.9927327827436
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RANGE_10M,0.2~0.5%,201675,158845,1.1499485636137547,1.1238544439839284,-2.2691553740303494,-1.0395238850803967,-1.0512618546563068,-1.1291678569754362,0.022798387784837313,-0.0020892030284035,-109.16381916177853
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,0.5~1%,201675,35615,1.1499485636137547,1.0828364947845126,-5.836093104750708,-1.0395238850803967,-1.0383937923783844,0.10871252870971433,0.022798387784837313,-0.053514412758619546,-334.72893462322264
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,DIRECTION,UP_MIXED,201675,52745,1.1499485636137547,1.1583647078482975,0.7318713637151472,-1.0395238850803967,-1.0454386152393471,-0.5689845364633389,0.022798387784837313,0.028915702311966066,26.83222421191221
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,MIXED,201675,114410,1.1499485636137547,1.1345941491303007,-1.3352261978746505,-1.0395238850803967,-1.0448980233103704,-0.5169807358065701,0.022798387784837313,0.021350386871189935,-6.351330310340673
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.05~0.05%,201675,45138,1.1499485636137547,1.0973085939955811,-4.577593405808572,-1.0395238850803967,-1.0946211956656227,-5.300244792447911,0.022798387784837313,-0.04326745602561515,-289.78296375146033
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-1~-0.5%,201675,18737,1.1499485636137547,1.2495098738308628,8.657892480358688,-1.0395238850803967,-0.9569318494979923,7.94517920826964,0.022798387784837313,0.17076108637320775,649.0050962585041
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,0.05~0.2%,201675,50372,1.1499485636137547,1.2247042841097848,6.500788197091836,-1.0395238850803967,-0.9441507805025058,9.17469102410425,0.022798387784837313,0.13347742038821045,485.46868159240296
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0~0.2%,201675,54508,1.1499485636137547,1.1573279576797204,0.64171514269957,-1.0395238850803967,-1.0285259256510564,1.0579804453930137,0.022798387784837313,0.0034868290502091163,-84.70580866017147
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,0~0.5%,201675,70572,1.1499485636137547,1.1326678879141212,-1.5027346653948064,-1.0395238850803967,-1.0530363486288814,-1.2998704255303979,0.022798387784837313,0.0014011910355047053,-93.85399069123385
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RANGE_10M,0.5~1%,201675,38313,1.1499485636137547,1.2041629151224447,4.714502302461196,-1.0395238850803967,-0.9948071569239557,4.30165470925977,0.022798387784837313,0.0722858860000459,217.06577974834516
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,DIRECTION,DOWN_MIXED,201675,50908,1.1499485636137547,1.111177309553253,-3.371564197503043,-1.0395238850803967,-1.0637713893995442,-2.3325586518170445,0.022798387784837313,-0.008757748057383382,-138.4138919823443
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-2~-1%,201675,9628,1.1499485636137547,1.191629237437116,3.624568536559431,-1.0395238850803967,-1.1627573121601262,-11.854795146933892,0.022798387784837313,0.051382455121950166,125.37758198903637
